film_title,customers
ALLEY EVOLUTION,"DEANNA BYRD, DEBORAH WALKER, DOROTHY TAYLOR, DOUGLAS GRAF, ELLA OLIVER, FERNANDO CHURCHILL, HARRY ARCE, JAVIER ELROD, JENNY CASTRO, KIRK STCLAIR, LEAH CURTIS, ROBERTA HARPER, ROSA REYNOLDS, VIRGIL WOFFORD"
ALONE TRIP,"BILLY POULIN, DEANNA BYRD, GREGORY MAULDIN, HARVEY GUAJARDO, HERBERT KRUGER, HERMAN DEVORE, JAMIE RICE, JAVIER ELROD, JOANN GARDNER, KATHLEEN ADAMS, LORRAINE STEPHENS, MARCIA DEAN, MELISSA KING, RALPH MADRIGAL, TODD TAN, TRACY COLE, WANDA PATTERSON, WILLIE MARKHAM"
ALTER VICTORY,"ANGELA HERNANDEZ, ANNA HILL, BARRY LOVELACE, BEN EASTER, BRADLEY MOTLEY, CLYDE TOBIAS, DONALD MAHON, ELIZABETH BROWN, ETHEL WEBB, HARVEY GUAJARDO, JOANNE ROBERTSON, JORDAN ARCHULETA, LEROY BUSTAMANTE, LOIS BUTLER, MICHAEL SILVERMAN, NATHAN RUNYON, NORMAN CURRIER, OSCAR AQUINO, PHILIP CAUSEY, RUBY WASHINGTON, SEAN DOUGLASS, TIM CARY"
AMADEUS HOLY,"BARBARA JONES, BRANDY GRAVES, CECIL VINES, CLIFFORD BOWENS, DEBRA NELSON, EDUARDO HIATT, EVERETT BANDA, HAZEL WARREN, HECTOR POINDEXTER, JANE BENNETT, JENNIFER DAVIS, JESSICA HALL, JULIA FLORES, KATHLEEN ADAMS, MAXINE SILVA, NATHANIEL ADAM, REBECCA SCOTT, SAMANTHA DUNCAN, SHERRY MARSHALL, SUZANNE NICHOLS, VERNON CHAPA"
AMELIE HELLFIGHTERS,"CODY NOLEN, DAWN SULLIVAN, DOLORES WAGNER, ESTHER CRAWFORD, FERNANDO CHURCHILL, GLEN TALBERT, JAMIE RICE, REGINALD KINDER, RUBY WASHINGTON, TAMARA NGUYEN"
AMERICAN CIRCUS,"ALEXANDER FENNELL, ALICIA MILLS, AMANDA CARTER, BILLY POULIN, BRIAN WYMAN, CLAUDE HERZOG, DAVID ROYAL, ELEANOR HUNT, ERIKA PENA, FRANCES PARKER, JIM REA, JOE GILLILAND, JULIO NOLAND, MARIE TURNER, MELANIE ARMSTRONG, MICHAEL SILVERMAN, SYLVIA ORTIZ, TAMMY SANDERS, TIM CARY, VICKIE BREWER"
AMISTAD MIDSUMMER,"ANGELA HERNANDEZ, CHARLENE ALVAREZ, CHERYL MURPHY, CRAIG MORRELL, DAISY BATES, DONNA THOMPSON, ELIZABETH BROWN, IAN STILL, JOE GILLILAND, JORDAN ARCHULETA, MARJORIE TUCKER, MARY SMITH, MILTON HOWLAND, RALPH MADRIGAL, RHONDA KENNEDY, ROSEMARY SCHMIDT, TERRY CARLSON, VELMA LUCAS, VIVIAN RUIZ, WALTER PERRYMAN, ZACHARY HITE"
ANACONDA CONFESSIONS,"AGNES BISHOP, BERNICE WILLIS, BRYAN HARDISON, CARMEN OWENS, CLARA SHAW, ESTHER CRAWFORD, FRANCIS SIKES, GEORGIA JACOBS, HOLLY FOX, HOWARD FORTNER, JEREMY HURTADO, JOANN GARDNER, KYLE SPURLOCK, LINDA WILLIAMS, MARCIA DEAN, MIRIAM MCKINNEY, MORRIS MCCARTER, NATHAN RUNYON, PAMELA BAKER, ROBIN HAYES, TONI HOLT"
ANALYZE HOOSIERS,"ARLENE HARVEY, BETTY WHITE, BOB PFEIFFER, EILEEN CARR, JAMIE WAUGH, JOAN COOPER, MARCUS HIDALGO, MICHELE GRANT, MIKE WAY, NATHANIEL ADAM, REBECCA SCOTT, ROSEMARY SCHMIDT, SERGIO STANFIELD, TIM CARY"
ANGELS LIFE,"ARLENE HARVEY, CATHY SPENCER, DEBBIE REYES, DIANA ALEXANDER, FRANCIS SIKES, GENE SANBORN, GILBERT SLEDGE, HEATHER MORRIS, HOWARD FORTNER, JENNIE TERRY, JIMMIE EGGLESTON, JOANNE ROBERTSON, JOSHUA MARK, JUAN FRALEY, LARRY THRASHER, MISTY LAMBERT, PHILIP CAUSEY, PRISCILLA LOWE, RALPH MADRIGAL, VERONICA STONE, WILLARD LUMPKIN"
ANNIE IDENTITY,"BARBARA JONES, BILLY POULIN, CHARLENE ALVAREZ, CLYDE TOBIAS, CONSTANCE REID, ELMER NOE, ERIC ROBERT, FELIX GAFFNEY, GERALDINE PERKINS, GUY BROWNLEE, IDA ANDREWS, JO FOWLER, JOYCE EDWARDS, LEWIS LYMAN, LONNIE TIRADO, MARIAN MENDOZA, MICHELE GRANT, PETER MENARD, PHILLIP HOLM, SIDNEY BURLESON, TERRANCE ROUSH, TINA SIMMONS"
ANONYMOUS HUMAN,"ALEX GRESHAM, BYRON BOX, CURTIS IRBY, DONALD MAHON, KATHERINE RIVERA, PATRICIA JOHNSON, RACHEL BARNES, RANDALL NEUMANN, SARAH LEWIS, SHANNON FREEMAN, STEPHEN QUALLS, TERESA ROGERS, VIOLET RODRIQUEZ"
ANTHEM LUKE,"ALVIN DELOACH, DANA HART, DARLENE ROSE, DEBBIE REYES, EDDIE TOMLIN, GLEN TALBERT, HAROLD MARTINO, JAMIE WAUGH, JEANNE LAWSON, JORGE OLIVARES, MARGIE WADE, RONALD WEINER, STELLA MORENO, SUE PETERS, THEODORE CULP"
ANTITRUST TOMATOES,"ERIK GUILLEN, JANICE WARD, JEANETTE GREENE, MIGUEL BETANCOURT, MILTON HOWLAND, MISTY LAMBERT, RONNIE RICKETTS, STACEY MONTGOMERY, STACY CUNNINGHAM, VIOLA HANSON"
ANYTHING SAVANNAH,"DOUGLAS GRAF, DUANE TUBBS, EDITH MCDONALD, FRANKLIN TROUTMAN, JACOB LANCE, JANE BENNETT, NEIL RENNER, SALVADOR TEEL, VICKIE BREWER"
APACHE DIVINE,"ALBERT CROUSE, ARTHUR SIMPKINS, BENJAMIN VARNEY, BRANDON HUEY, BRUCE SCHWARZ, CATHERINE CAMPBELL, CHARLENE ALVAREZ, CRAIG MORRELL, ETHEL WEBB, FRANCISCO SKIDMORE, GEORGE LINTON, GILBERT SLEDGE, GINA WILLIAMSON, JANICE WARD, JIM REA, JOANNE ROBERTSON, KURT EMMONS, LOIS BUTLER, LORETTA CARPENTER, MANUEL MURRELL, MARLENE WELCH, MICHAEL SILVERMAN, MONICA HICKS, NEIL RENNER, RAMON CHOATE, RICK MATTOX, RUTH MARTINEZ, STACY CUNNINGHAM, THERESA WATSON, VERONICA STONE, WILLARD LUMPKIN"
APOCALYPSE FLAMINGOS,"ELSIE KELLEY, LEAH CURTIS, NICHOLAS BARFIELD, SALLY PIERCE, TERRI VASQUEZ, TYRONE ASHER"
ARABIA DOGMA,"CASEY MENA, CECIL VINES, CHRISTIAN JUNG, DEANNA BYRD, EMMA BOYD, IVAN CROMWELL, JESSE SCHILLING, JULIA FLORES, MARCUS HIDALGO, ROSEMARY SCHMIDT, SUE PETERS, VIOLA HANSON, VIRGINIA GREEN"
ARACHNOPHOBIA ROLLERCOASTER,"AARON SELBY, BARBARA JONES, BERTHA FERGUSON, BYRON BOX, CARLA GUTIERREZ, COREY HAUSER, DENISE KELLY, FERNANDO CHURCHILL, FRANK WAGGONER, GWENDOLYN MAY, JEFFERY PINSON, JOHN FARNSWORTH, PHYLLIS FOSTER, RACHEL BARNES, RAUL FORTIER, RICHARD MCCRARY, ROSEMARY SCHMIDT, RUTH MARTINEZ, SIDNEY BURLESON, STACEY MONTGOMERY, TERRY GRISSOM, TINA SIMMONS, TONI HOLT, WILLIE HOWELL"
ARIZONA BANG,"CHARLOTTE HUNTER, CLARA SHAW, CLAUDIA FULLER, DEBORAH WALKER, DWAYNE OLVERA, ELEANOR HUNT, ELIZABETH BROWN, ELMER NOE, GENE SANBORN, KAREN JACKSON, LESLIE SEWARD, LOUISE JENKINS, MILTON HOWLAND, NINA SOTO, ROSA REYNOLDS, SARAH LEWIS, SHIRLEY ALLEN, STEVE MACKENZIE, SUSAN WILSON, TERRANCE ROUSH, VIOLET RODRIQUEZ"
ARMAGEDDON LOST,"ANNE POWELL, ARLENE HARVEY, BONNIE HUGHES, BRYAN HARDISON, CARLOS COUGHLIN, CAROLINE BOWMAN, COURTNEY DAY, DENISE KELLY, EDWARD BAUGH, ELEANOR HUNT, IDA ANDREWS, JAMES GANNON, JAVIER ELROD, JAY ROBB, LORI WOOD, NORMAN CURRIER, PAMELA BAKER, PATRICK NEWSOM, RAY HOULE, SHAWN HEATON, TERRANCE ROUSH"
ARMY FLINTSTONES,"BRENDA WRIGHT, CRAIG MORRELL, ELLA OLIVER, ELLEN SIMPSON, GARY COY, HAROLD MARTINO, JAMIE RICE, JUANITA MASON, JUNE CARROLL, KRISTIN JOHNSTON, LORI WOOD, MARGIE WADE, NANCY THOMAS, PEARL GARZA, REBECCA SCOTT, RUBEN GEARY"
ARTIST COLDBLOODED,"ANTHONY SCHWAB, BARBARA JONES, CONSTANCE REID, CRYSTAL FORD, DARYL LARUE, DAWN SULLIVAN, DWAYNE OLVERA, FRANCES PARKER, GRACE ELLIS, JESSE SCHILLING, MARJORIE TUCKER, MATHEW BOLIN, MITCHELL WESTMORELAND, OLGA JIMENEZ, SUSAN WILSON, TIM CARY"
ATLANTIS CAUSE,"AGNES BISHOP, CARMEN OWENS, CHARLOTTE HUNTER, DIANNE SHELTON, DUSTIN GILLETTE, EDNA WEST, EDUARDO HIATT, GABRIEL HARDER, GRACE ELLIS, HEIDI LARSON, JEANNE LAWSON, LANCE PEMBERTON, LEE HAWKS, LEONA OBRIEN, LESLIE SEWARD, LOUIS LEONE, LUCY WHEELER, PEARL GARZA, RODNEY MOELLER, SAM MCDUFFIE, SETH HANNON, TOM MILNER, VALERIE BLACK, VIVIAN RUIZ"
ATTACKS HATE,"ANGEL BARCLAY, BRITTANY RILEY, CRYSTAL FORD, CYNTHIA YOUNG, DOLORES WAGNER, DUANE TUBBS, ELLA OLIVER, GAIL KNIGHT, JANET PHILLIPS, MARILYN ROSS, MARY SMITH, MICHELLE CLARK, SALVADOR TEEL, TERRY GRISSOM, TRACEY BARRETT, WILLARD LUMPKIN"
ATTRACTION NEWTON,"ALICE STEWART, ALICIA MILLS, ANNIE RUSSELL, ARTHUR SIMPKINS, CALVIN MARTEL, CHRISTIAN JUNG, DONALD MAHON, FLOYD GANDY, JACK FOUST, JULIAN VEST, LEROY BUSTAMANTE, MABEL HOLLAND, MARGIE WADE, MARIO CHEATHAM, MONICA HICKS, NORA HERRERA, PATSY DAVIDSON, RAMONA HALE, RICK MATTOX, RUTH MARTINEZ, SANDRA MARTIN, SUE PETERS, SUZANNE NICHOLS, WANDA PATTERSON"
AUTUMN CROW,"ALICE STEWART, AMBER DIXON, BRYAN HARDISON, CLIFTON MALCOLM, DAN PAINE, JEANNE LAWSON, KATHERINE RIVERA, NATALIE MEYER, TERESA ROGERS, TERRI VASQUEZ, WANDA PATTERSON"
BABY HALL,"ANA BRADLEY, ASHLEY RICHARDSON, FRANCIS SIKES, GLADYS HAMILTON, JAY ROBB, JEANETTE GREENE, KAREN JACKSON, LYNN PAYNE"
BACKLASH UNDEFEATED,"ALLAN CORNISH, ALVIN DELOACH, BEN EASTER, CECIL VINES, COURTNEY DAY, DIANE COLLINS, DONNA THOMPSON, GEORGIA JACOBS, JOSEPHINE GOMEZ, JOYCE EDWARDS, LESLIE SEWARD, LOUISE JENKINS, MARIAN MENDOZA, MICHEAL FORMAN, PAUL TROUT, ROBERT BAUGHMAN, TERRI VASQUEZ, TRACY HERRMANN, WILMA RICHARDS"
BADMAN DAWN,"ALFREDO MCADAMS, AUSTIN CINTRON, BRANDON HUEY, BRETT CORNWELL, CAROLYN PEREZ, CLAYTON BARBEE, DEBBIE REYES, EDDIE TOMLIN, FRANKLIN TROUTMAN, HARRY ARCE, JESSICA HALL, JO FOWLER, KATHRYN COLEMAN, LORRAINE STEPHENS, LUCILLE HOLMES, MARCIA DEAN, MARSHA DOUGLAS, PEGGY MYERS, TRACY COLE, TYLER WREN"
BAKED CLEOPATRA,"ALEXANDER FENNELL, ALLISON STANLEY, ARNOLD HAVENS, BETH FRANKLIN, DEBRA NELSON, EDITH MCDONALD, GLEN TALBERT, GORDON ALLARD, JAMES GANNON, JOANN GARDNER, LYDIA BURKE, MATHEW BOLIN, REGINALD KINDER, RENE MCALISTER, RICARDO MEADOR, WESLEY BULL"
BALLOON HOMEWARD,"BEATRICE ARNOLD, CAROLYN PEREZ, CHRISTY VARGAS, DARREN WINDHAM, FRANKLIN TROUTMAN, JANE BENNETT, JEREMY HURTADO, JESSIE MILAM, JOHNNIE CHISHOLM, JOY GEORGE, KAY CALDWELL, KEN PREWITT, LANCE PEMBERTON, MARSHA DOUGLAS, NORA HERRERA, NORMAN CURRIER, RICKY SHELBY, ROBERTO VU, STACEY MONTGOMERY, STEPHANIE MITCHELL, TONI HOLT, VICKI FIELDS, VINCENT RALSTON"
BALLROOM MOCKINGBIRD,"JANICE WARD, JOANN GARDNER, MIKE WAY, NEIL RENNER, RENEE LANE, RUSSELL BRINSON, STANLEY SCROGGINS, VELMA LUCAS"
BANG KWAI,"ALICIA MILLS, DEBORAH WALKER, GINA WILLIAMSON, HAROLD MARTINO, LESLIE SEWARD, MAURICE CRAWLEY, PAULINE HENRY"
BANGER PINOCCHIO,"ALAN KAHN, ALBERT CROUSE, BILLY POULIN, BRETT CORNWELL, CAROL GARCIA, CHAD CARBONE, CRAIG MORRELL, CYNTHIA YOUNG, FERNANDO CHURCHILL, JEANETTE GREENE, JESSIE MILAM, KATHRYN COLEMAN, PEGGY MYERS, PHILLIP HOLM, REGINA BERRY, RUSSELL BRINSON, SHERRY MARSHALL, SUZANNE NICHOLS, TROY QUIGLEY, WILLIE HOWELL, WILLIE MARKHAM, YVONNE WATKINS"
BARBARELLA STREETCAR,"ALEX GRESHAM, ANITA MORALES, ANN EVANS, AUDREY RAY, BOBBY BOUDREAU, CATHERINE CAMPBELL, CLAYTON BARBEE, CRYSTAL FORD, CURTIS IRBY, DARRYL ASHCRAFT, DIANNE SHELTON, EDITH MCDONALD, ELSIE KELLEY, ISAAC OGLESBY, KEN PREWITT, LAURA RODRIGUEZ, MARIAN MENDOZA, MICHELE GRANT, PEGGY MYERS, RACHEL BARNES, RUBY WASHINGTON, STEVEN CURLEY, TOMMY COLLAZO, TRACY COLE, WILMA RICHARDS"
BAREFOOT MANCHURIAN,"ADAM GOOCH, BARRY LOVELACE, BENJAMIN VARNEY, BETH FRANKLIN, DARRELL POWER, DEBBIE REYES, ERIN DUNN, FRANCES PARKER, JAMIE WAUGH, KATHERINE RIVERA, LAUREN HUDSON, LENA JENSEN, LESLIE SEWARD, MARJORIE TUCKER, PAULINE HENRY, REGINALD KINDER, ROBIN HAYES, SETH HANNON"
BASIC EASY,"ARNOLD HAVENS, BERNICE WILLIS, DORA MEDINA, FRED WHEAT, HECTOR POINDEXTER, HUGH WALDROP, JESSE SCHILLING, JOE GILLILAND, JULIAN VEST, JULIO NOLAND, KATHRYN COLEMAN, MAX PITT, MELANIE ARMSTRONG, MELVIN ELLINGTON, MICHEAL FORMAN, NELLIE GARRETT, NELSON CHRISTENSON, RAMON CHOATE, RONNIE RICKETTS, TROY QUIGLEY, WANDA PATTERSON"
BEACH HEARTBREAKERS,"CARMEN OWENS, CHAD CARBONE, CHERYL MURPHY, JAMIE RICE, JEANETTE GREENE, JOSE ANDREW, KELLY TORRES, KIMBERLY LEE, LESLIE GORDON, MATTHEW MAHAN, MELISSA KING, PAULA BRYANT, PERRY SWAFFORD, ROGER QUINTANILLA, TIM CARY, TYRONE ASHER, WILLIE MARKHAM"
BEAR GRACELAND,"BOBBY BOUDREAU, CARRIE PORTER, COURTNEY DAY, DENISE KELLY, ERICA MATTHEWS, EUGENE CULPEPPER, FRANCES PARKER, HELEN HARRIS, JENNIE TERRY, JOSEPH JOY, JUANITA MASON, JUDY GRAY, MARK RINEHART, MICHAEL SILVERMAN, RAMON CHOATE, SEAN DOUGLASS, SHARON ROBINSON, SHAWN HEATON, SHERRI RHODES, SIDNEY BURLESON, TONYA CHAPMAN, VIOLA HANSON"
BEAST HUNCHBACK,"BENJAMIN VARNEY, BEVERLY BROOKS, CHRISTINE ROBERTS, DAISY BATES, FRANKLIN TROUTMAN, GRACE ELLIS, PAMELA BAKER, SALLY PIERCE, STANLEY SCROGGINS, TERRENCE GUNDERSON, WANDA PATTERSON"
BEAUTY GREASE,"AARON SELBY, ALBERTO HENNING, BERNARD COLBY, BRENDA WRIGHT, BYRON BOX, CURTIS IRBY, DIANE COLLINS, GLEN TALBERT, HELEN HARRIS, HERBERT KRUGER, LAURIE LAWRENCE, MANUEL MURRELL, PAUL TROUT, RICHARD MCCRARY, ROGER QUINTANILLA, RONNIE RICKETTS, ROSA REYNOLDS, RYAN SALISBURY, SHIRLEY ALLEN, TRACY COLE, VERNON CHAPA, WENDY HARRISON"
BED HIGHBALL,"CARRIE PORTER, ERIK GUILLEN, JUSTIN NGO, LYDIA BURKE, PAUL TROUT, ROSS GREY"
BEDAZZLED MARRIED,"ALFREDO MCADAMS, BARBARA JONES, GRACE ELLIS, JEFF EAST, JESSIE MILAM, JOSEPH JOY, KATHY JAMES, KYLE SPURLOCK, LAUREN HUDSON, LUCY WHEELER, SETH HANNON, TANYA GILBERT"
BEETHOVEN EXORCIST,"ALICE STEWART, EDWIN BURK, IRENE PRICE, JANE BENNETT, JESSE SCHILLING, LONNIE TIRADO, MISTY LAMBERT, RICHARD MCCRARY, TERRY GRISSOM, TINA SIMMONS, WADE DELVALLE"
BEHAVIOR RUNAWAY,"ARNOLD HAVENS, BOB PFEIFFER, CLAYTON BARBEE, DUSTIN GILLETTE, DWAYNE OLVERA, ELMER NOE, FRANCISCO SKIDMORE, JOSEPH JOY, KELLY TORRES, LEROY BUSTAMANTE, MAURICE CRAWLEY, MELISSA KING, ZACHARY HITE"
BENEATH RUSH,"DENNIS GILMAN, DON BONE, HEATHER MORRIS, IRENE PRICE, JIMMIE EGGLESTON, JOHNNY TURPIN, MARTIN BALES, MICHEAL FORMAN, TONI HOLT, TONY CARRANZA"
BERETS AGENT,"ALFRED CASILLAS, BOBBY BOUDREAU, CORY MEEHAN, DALE RATCLIFF, DWIGHT LOMBARDI, ENRIQUE FORSYTHE, GEORGE LINTON, JANET PHILLIPS, JAVIER ELROD, JEANNE LAWSON, JEFFERY PINSON, JEFFREY SPEAR, JESSICA HALL, JOSHUA MARK, JOY GEORGE, KAREN JACKSON, MELANIE ARMSTRONG, PRISCILLA LOWE, SHELLY WATTS, SONIA GREGORY, WILLIAM SATTERFIELD"
BETRAYED REAR,"ALFRED CASILLAS, DARREN WINDHAM, EDITH MCDONALD, ELIZABETH BROWN, GRACE ELLIS, IRENE PRICE, JEANNE LAWSON, JOEL FRANCISCO, KARL SEAL, KATHLEEN ADAMS, MICHELE GRANT, MINNIE ROMERO, RAYMOND MCWHORTER, SHERRI RHODES, STEVE MACKENZIE"
BEVERLY OUTLAW,"ALVIN DELOACH, CHRISTINE ROBERTS, CYNTHIA YOUNG, DEREK BLAKELY, DOUGLAS GRAF, GUY BROWNLEE, HILDA HOPKINS, IDA ANDREWS, ISAAC OGLESBY, JAVIER ELROD, JIM REA, JIMMY SCHRADER, JOY GEORGE, KENT ARSENAULT, MILTON HOWLAND, NANCY THOMAS, SHERRI RHODES, STACEY MONTGOMERY, VIRGINIA GREEN, WALLACE SLONE, WANDA PATTERSON"
BIKINI BORROWERS,"ALVIN DELOACH, BENJAMIN VARNEY, BILLY POULIN, CLYDE TOBIAS, DAVID ROYAL, DENNIS GILMAN, EMMA BOYD, GAIL KNIGHT, GERALDINE PERKINS, GLORIA COOK, JESUS MCCARTNEY, KARL SEAL, MARY SMITH, NATHAN RUNYON, SHERRI RHODES, TERRY CARLSON, TRACY HERRMANN"
BILKO ANONYMOUS,"DAN PAINE, ELSIE KELLEY, ERIK GUILLEN, GILBERT SLEDGE, JESSIE MILAM, JORGE OLIVARES, JOSEPH JOY, MARCUS HIDALGO, NELLIE GARRETT, NICOLE PETERSON, SANDRA MARTIN, SHAWN HEATON, TERESA ROGERS"
BILL OTHERS,"ANNA HILL, ASHLEY RICHARDSON, CATHY SPENCER, CLARA SHAW, CLIFFORD BOWENS, COLLEEN BURTON, DARYL LARUE, HECTOR POINDEXTER, IAN STILL, LEWIS LYMAN, MANUEL MURRELL, MARSHA DOUGLAS, MARTHA GONZALEZ, MIRIAM MCKINNEY, MITCHELL WESTMORELAND, PEARL GARZA, SERGIO STANFIELD, TERRENCE GUNDERSON, YVONNE WATKINS"
BINGO TALENTED,"AMBER DIXON, BEATRICE ARNOLD, BECKY MILES, CASEY MENA, CINDY FISHER, DEREK BLAKELY, EDWARD BAUGH, ERIC ROBERT, EVA RAMOS, FLORENCE WOODS, GARY COY, GORDON ALLARD, GREGORY MAULDIN, GWENDOLYN MAY, HELEN HARRIS, KIRK STCLAIR, LEWIS LYMAN, LORRAINE STEPHENS, LYNN PAYNE, MAE FLETCHER, MARSHA DOUGLAS, RANDY GAITHER, RONNIE RICKETTS, SHERRY MARSHALL, STELLA MORENO, TANYA GILBERT, VICTOR BARKLEY, VIOLA HANSON"
BIRCH ANTITRUST,"ALICE STEWART, CYNTHIA YOUNG, DIANE COLLINS, EDWIN BURK, EUGENE CULPEPPER, FRANK WAGGONER, MAXINE SILVA, RUBY WASHINGTON, SALVADOR TEEL, STEVE MACKENZIE, WALLACE SLONE"
BIRD INDEPENDENCE,"BETH FRANKLIN, DUANE TUBBS, ELEANOR HUNT, FELIX GAFFNEY, JANET PHILLIPS, KIMBERLY LEE, LARRY THRASHER, NICHOLAS BARFIELD, SHIRLEY ALLEN, STANLEY SCROGGINS, WESLEY BULL"
BIRDCAGE CASPER,"ALICE STEWART, AMY LOPEZ, BYRON BOX, DEBORAH WALKER, NAOMI JENNINGS, RAMONA HALE, STEPHEN QUALLS, THERESA WATSON"
